Year,Game,Genre,Developer(s),Country
2010,Mass Effect 2,Action role-playing,BioWare,Kanada
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios,USA
2012,Journey,Adventure,Thatgamecompany,USA
2013,The Last of Us,Action-adventure,Naughty Dog,USA
2014,Dragon Age: Inquisition,Action role-playing,BioWare,Kanada
2015,Fallout 4,Action role-playing,Bethesda Game Studios,USA
2016,Overwatch,First-person shooter,Blizzard Entertainment,USA
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,Japonsko
2018,God of War,Action-adventure,Santa Monica Studio,USA
2019,Untitled Goose Game,Puzzle–stealth,House House,Austrálie
2020,Hades,Action role-playing,Supergiant Games,USO
2021,It Takes Two,Action-adventure,Hazelight Studios,Švédsko
2022,Elden Ring,Action role-playing,FromSoftware,Japonsko
2023,Baldur's Gate 3,Role-playing,Larian Studios,Belgie
