Year,Game,Genre,Developer(s),Country
2010,Monster Hunter Portable 3rd,Action role-playing,Capcom,Japonsko
2011,Monster Hunter Tri G,Action role-playing,Capcom,Japonsko
2012,Animal Crossing: New Leaf,Life simulation,Nintendo EAD,Japonsko
2013,Monster Hunter 4,Action role-playing,Capcom,Japonsko
2014,Yo-kai Watch 2,Role-playing,Level-5,Japonsko
2015,Splatoon,Third-person shooter,Nintendo EAD,Japonsko
2016,Pokémon Sun and Moon,Role-playing,Game Freak,Japonsko
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,Japonsko
2017,Dragon Quest XI,Role-playing,Square Enix,Japonsko
2018,Monster Hunter: World,Action role-playing,Capcom,Japonsko
2018,Super Smash Bros. Ultimate,Fighting,Bandai Namco Studios / Sora Ltd.,Japonsko
2019,Pokémon Sword and Shield,Role-playing,Game Freak,Japonsko
2020,Animal Crossing: New Horizons,Life simulation,Nintendo EPD,Japonsko
2020,Ghost of Tsushima,Action-adventure,Sucker Punch Productions,USA
2021,Monster Hunter Rise,Action role-playing,Capcom,Japonsko
2022,Elden Ring,Action role-playing,FromSoftware,Japonsko
2023,The Legend of Zelda: Tears of the Kingdom,Action-adventure,Nintendo EPD,Japonsko
