Year,Game,Genre,Developer(s),Country
2010,Red Dead Redemption,Action-adventure,Rockstar San Diego,USA
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios,USA
2012,Journey,Adventure,Thatgamecompany,USA
2013,The Last of Us,Action-adventure,Naughty Dog,USA
2014,Middle-earth: Shadow of Mordor,Action-adventure,Monolith Productions,USA
2015,The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red,Polsko
2016,Overwatch,First-person shooter,Blizzard Entertainment,USA
2017,The Legend of Zelda: Breath of the Wild[110],Action-adventure,Nintendo EPD,Japonsko
2018,God of War,Action-adventure,Santa Monica Studio,USA
2019,Untitled Goose Game,Puzzle–stealth,House House,Austrálie
2020,Hades,Action role-playing,Supergiant Games,USA
2021,Inscryption,Roguelike,Daniel Mullins Games,Kanada
2022,Elden Ring,Action role-playing,FromSoftware,Japonsko
2023,Baldur's Gate 3,Role-playing,Larian Studios,Belgie
