Year,Game,Genre,Developer(s),Country
2010.0,Mass Effect 2,Action role-playing,BioWare,Kanada
2011.0,Portal 2,Puzzle-platformer,Valve,USA
2012.0,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios,USA
2013.0,Grand Theft Auto V,Action-adventure,Rockstar North,USA
2014.0,Dark Souls II,Action role-playing,FromSoftware,Japonsko
2015.0,The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red,Polsko
2016.0,Dark Souls III,Action role-playing,FromSoftware,Japonsko
2017.0,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,Japonsko
2018.0,Fortnite Battle Royale,Battle royale,Epic Games,USA
2019.0,Resident Evil 2,Survival horror,Capcom,Japonsko
2020.0,The Last of Us Part II,Action-adventure,Naughty Dog,USA
2021.0,Resident Evil Village,Survival horror,Capcom,Japonsko
2022.0,Elden Ring,Action role-playing,FromSoftware,Japonsko
2023.0,Baldur's Gate 3,Role-playing,Larian Studios,Belgie
