Year,Game,Genre,Developer(s),Country
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios,USA
2012,The Walking Dead,Graphic adventure,Telltale Games,USA
2013,The Last of Us,Action-adventure,Naughty Dog,USA
2014,Wolfenstein: The New Order,First-person shooter,MachineGames,Švédsko
2015,The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red,Polsko
2016,Uncharted 4: A Thief's End,Action-adventure,Naughty Dog,USA
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,Japonsko
2018,God of War,Action-adventure,Santa Monica Studio,USA
2019,The Outer Worlds,Action role-playing,Obsidian Entertainment,USA
2020,Hades,Action role-playing,Supergiant Games,USA
2021,Psychonauts 2,Platform,Double Fine,USA
2022,Elden Ring,Action role-playing,FromSoftware,Japonsko
2023,Baldur's Gate 3,Role-playing,Larian Studios,Belgie
