Year,Game,Genre,Developer(s),Country
2014,Dragon Age: Inquisition,Action role-playing,BioWare,Kanada
2015,The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red,Polsko
2016,Overwatch,First-person shooter,Blizzard Entertainment,USA
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,Japonsko
2018,God of War,Action-adventure,Santa Monica Studio,USA
2019,Sekiro: Shadows Die Twice,Action-adventure,FromSoftware,Japonsko
2020,The Last of Us Part II,Action-adventure,Naughty Dog,USA
2021,It Takes Two,Action-adventure,Hazelight Studios,Švédsko
2022,Elden Ring,Action role-playing,FromSoftware,Japonsko
2023,Baldur's Gate 3,Role-playing,Larian Studios,Belgie
